question,answer1,answer2,answer3,answer4
hi,"Hello!","Hi there!","Greetings!",
hello,"Hello!","Hi there!","Greetings!",
what is your name,"I am Chatbot Group 7.","You can call me Chatbot Group 7.","I'm known as Chatbot Group 7.",
how are you,"I'm doing great, thank you!","Feeling awesome today!","I'm good! Thanks for asking.",
what is python,"Python is a powerful and easy-to-learn programming language.","Python is a great programming language to learn.","Python is a popular programming language used for many types of software development.",
what is the capital of france,"The capital of France is Paris.","Paris is the capital city of France.","France's capital is Paris.",
what is the capital of germany,"The capital of Germany is Berlin.","Berlin is the capital city of Germany.","Germany's capital is Berlin.",
what can you do with python,"Python created to develop Apps using Python.","It was developed for software!","A Python developer used python!",
who created python,"Guido van Rossum created Python.",,,
what is 2 plus 2,"The answer is 4.","2 plus 2 equals 4.","4 is the answer.",
what is AI,"AI means Artificial Intelligence.","AI lets computers learn.","AI is technology that makes machines act smart.","AI is a system that can solve problems on its own.",
what is a variable,"A variable stores data.","It holds a value.",,
what is a loop,"A loop repeats code.","A loop runs the same code again and again until a condition is met.",,
what is HTML,"HTML builds webpages.","It is a markup language.",,
what is an API,"An API lets programs talk to each other.","An API is a set of rules for how software can share data.","An API lets apps connect and work together.","An API is like a menu that tells you what a software service can do."
what is a function,"A function is reusable code.","A function takes input, does work, and can return a result.","A function helps organize code into smaller tasks.","A function lets you avoid repeating the same code."
what is the largest planet,"Jupiter is the largest planet in our solar system.","The biggest planet in our solar system is Jupiter.","The largest planet is Jupiter.",
